cohort,id,task_id,M_P,M_T,M_X,M_F,n_records
Browser-Use,Browser-Use_rep1,Google Flights--34,18.0,13,0,0,70
Browser-Use,Browser-Use_rep0,Google Map--35,297.0,14,0,43,339
Browser-Use,Browser-Use_rep1,Google Map--35,269.0,14,0,43,311
Browser-Use,Browser-Use_rep0,Google Search--28,33.0,5,0,0,45
Browser-Use,Browser-Use_rep1,Google Search--28,37.0,7,0,0,53
Browser-Use,Browser-Use_rep0,Huggingface--14,22.0,12,1,3,118
Browser-Use,Browser-Use_rep1,Huggingface--14,18.0,12,1,3,118
UI-TARS,UI-TARS_rep0,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep1,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep0,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep1,ArXiv--17,0.0,0,0,0,11
UI-TARS,UI-TARS_rep0,Amazon--32,310.0,53,3,0,617
UI-TARS,UI-TARS_rep1,Amazon--32,103.0,2,0,0,214
UI-TARS,UI-TARS_rep0,Amazon--32,289.0,47,3,0,595
UI-TARS,UI-TARS_rep1,Amazon--32,190.0,5,0,0,462
UI-TARS,UI-TARS_rep0,Amazon--32,100.0,2,0,0,208
UI-TARS,UI-TARS_rep1,Amazon--32,279.0,47,3,0,599
UI-TARS,UI-TARS_rep0,Amazon--32,257.0,53,3,0,583
UI-TARS,UI-TARS_rep1,Amazon--32,276.0,52,3,0,588
UI-TARS,UI-TARS_rep0,Amazon--32,268.0,53,3,0,584
UI-TARS,UI-TARS_rep1,Amazon--32,302.0,54,3,0,644
UI-TARS,UI-TARS_rep0,Booking--3,189.0,39,1,2,462
UI-TARS,UI-TARS_rep1,Booking--3,212.0,34,1,2,502
UI-TARS,UI-TARS_rep0,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep1,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep0,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep1,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep0,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep1,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep0,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep1,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep0,Apple--29,46.0,2,1,0,46
UI-TARS,UI-TARS_rep1,Apple--29,46.0,2,1,0,46
