agent,task,condition,rep,target_etld1,records,unique_hosts,third_party_hosts,rq3_blocks_search,rq3_blocks_offdomain,rq3_blocks_cmp,task_success,duration_seconds,return_code
browser-use,Apple--7,C0,1,apple.com,787,55,55,0,0,0,success,66.9,0
browser-use,Apple--8,C0,1,apple.com,291,12,9,0,0,0,success,41.7,0
browser-use,Apple--9,C0,1,apple.com,319,11,7,0,0,0,success,36.9,0
browser-use,ArXiv--0,C0,1,arxiv.org,82,10,8,0,0,0,success,82.5,0
browser-use,ArXiv--1,C0,1,arxiv.org,56,12,10,0,0,0,success,102.9,0
browser-use,ArXiv--10,C0,1,arxiv.org,122,18,15,0,0,0,success,27.0,0
browser-use,ArXiv--11,C0,1,arxiv.org,595,18,18,0,0,0,success,35.7,0
browser-use,ArXiv--12,C0,1,arxiv.org,124,18,15,0,0,0,success,50.7,0
browser-use,ArXiv--13,C0,1,arxiv.org,46,10,8,0,0,0,success,18.7,0
browser-use,ArXiv--14,C0,1,arxiv.org,38,10,8,0,0,0,success,25.4,0
browser-use,ArXiv--15,C0,1,arxiv.org,136,16,14,0,0,0,success,39.9,0
browser-use,ArXiv--16,C0,1,arxiv.org,80,13,11,0,0,0,success,36.2,0
browser-use,ArXiv--17,C0,1,arxiv.org,585,19,17,0,0,0,success,36.4,0
browser-use,ArXiv--18,C0,1,arxiv.org,591,17,15,0,0,0,success,40.8,0
browser-use,ArXiv--19,C0,1,arxiv.org,638,33,30,0,0,0,success,42.1,0
browser-use,ArXiv--2,C0,1,arxiv.org,69,11,9,0,0,0,success,43.0,0
browser-use,ArXiv--20,C0,1,arxiv.org,108,10,9,0,0,0,success,33.9,0
browser-use,ArXiv--21,C0,1,arxiv.org,152,11,9,0,0,0,success,33.8,0
browser-use,ArXiv--22,C0,1,arxiv.org,640,24,21,0,0,0,success,57.6,0
browser-use,ArXiv--23,C0,1,arxiv.org,159,15,12,0,0,0,success,58.5,0
browser-use,ArXiv--24,C0,1,arxiv.org,155,11,9,0,0,0,success,30.2,0
browser-use,ArXiv--25,C0,1,arxiv.org,123,11,9,0,0,0,success,66.3,0
browser-use,ArXiv--26,C0,1,arxiv.org,89,9,8,0,0,0,success,31.7,0
browser-use,ArXiv--27,C0,1,arxiv.org,476,13,12,0,0,0,success,29.0,0
browser-use,ArXiv--28,C0,1,arxiv.org,487,15,14,0,0,0,success,36.4,0
browser-use,ArXiv--29,C0,1,arxiv.org,319,13,12,0,0,0,success,36.8,0
browser-use,ArXiv--3,C0,1,arxiv.org,107,13,11,0,0,0,success,34.7,0
browser-use,ArXiv--30,C0,1,arxiv.org,124,18,15,0,0,0,success,26.2,0
