agent,task,condition,n_reps,success_rate,dominant_status,records_median,records_ci_lo,records_ci_hi,unique_hosts_median,unique_hosts_ci_lo,unique_hosts_ci_hi,third_party_hosts_median,third_party_hosts_ci_lo,third_party_hosts_ci_hi,rq3_blocks_search_median,rq3_blocks_search_ci_lo,rq3_blocks_search_ci_hi,rq3_blocks_offdomain_median,rq3_blocks_offdomain_ci_lo,rq3_blocks_offdomain_ci_hi,rq3_blocks_cmp_median,rq3_blocks_cmp_ci_lo,rq3_blocks_cmp_ci_hi,duration_seconds_median,duration_seconds_ci_lo,duration_seconds_ci_hi
browser-use,Allrecipes--25,C5,1,1.0,success,177,177,177,12,12,12,11,11,11,0,0,0,0,0,0,0,0,0,57.6,57.6,57.6
browser-use,Allrecipes--25,C7,1,1.0,success,885,885,885,122,122,122,119,119,119,0,0,0,28,28,28,0,0,0,42.2,42.2,42.2
browser-use,Allrecipes--25,C8,1,1.0,success,930,930,930,124,124,124,121,121,121,0,0,0,28,28,28,0,0,0,48.3,48.3,48.3
browser-use,Allrecipes--26,C0,1,1.0,success,722,722,722,114,114,114,111,111,111,0,0,0,0,0,0,0,0,0,34.8,34.8,34.8
browser-use,Allrecipes--26,C2,1,1.0,success,1080,1080,1080,127,127,127,124,124,124,0,0,0,35,35,35,0,0,0,42.6,42.6,42.6
browser-use,Allrecipes--26,C5,1,1.0,success,167,167,167,12,12,12,11,11,11,0,0,0,0,0,0,0,0,0,38.4,38.4,38.4
browser-use,Allrecipes--26,C7,1,1.0,success,934,934,934,126,126,126,123,123,123,0,0,0,29,29,29,0,0,0,31.4,31.4,31.4
browser-use,Allrecipes--26,C8,1,1.0,success,1160,1160,1160,129,129,129,126,126,126,0,0,0,41,41,41,0,0,0,37.4,37.4,37.4
browser-use,Allrecipes--27,C0,1,1.0,success,909,909,909,135,135,135,132,132,132,0,0,0,0,0,0,0,0,0,41.2,41.2,41.2
browser-use,Allrecipes--27,C2,1,1.0,success,933,933,933,124,124,124,121,121,121,0,0,0,24,24,24,0,0,0,44.6,44.6,44.6
