agent,task,condition,success_delta_pp,records_delta_pct,unique_hosts_delta_pct,third_party_hosts_delta_pct,rq3_blocks_search_delta_pct,rq3_blocks_offdomain_delta_pct,rq3_blocks_cmp_delta_pct,duration_seconds_delta_pct
fara-7b,ESPN--34,C7,0.0,-69.6148359486448,-64.16666666666667,-68.18181818181817,0.0,inf,0.0,-1.419558359621449
fara-7b,ESPN--34,C8,0.0,-68.47360912981455,-60.0,-63.63636363636363,0.0,inf,0.0,-5.2050473186119826
fara-7b,ESPN--35,C2,0.0,-60.17369727047146,-65.57377049180327,-71.17117117117117,0.0,inf,0.0,-21.799746514575414
fara-7b,ESPN--35,C5,0.0,-4.838709677419355,13.934426229508196,15.315315315315313,0.0,0.0,0.0,-30.67173637515843
fara-7b,ESPN--35,C7,0.0,-65.38461538461539,-62.295081967213115,-66.66666666666666,0.0,inf,0.0,1.2674271229404308
fara-7b,ESPN--35,C8,0.0,-15.632754342431761,-60.65573770491803,-66.66666666666666,0.0,inf,0.0,-18.250950570342212
fara-7b,ESPN--36,C2,-100.0,-70.95435684647303,-51.06382978723404,-61.53846153846154,0.0,inf,0.0,20.772946859903385
fara-7b,ESPN--36,C5,0.0,-56.016597510373444,-14.893617021276595,-17.94871794871795,0.0,0.0,0.0,-71.01449275362319
fara-7b,ESPN--36,C7,-100.0,-70.95435684647303,-48.93617021276596,-58.97435897435898,0.0,inf,0.0,22.705314009661834
fara-7b,ESPN--36,C8,-100.0,-53.7344398340249,-14.893617021276595,-20.51282051282051,0.0,inf,0.0,-28.985507246376812
fara-7b,ESPN--37,C2,-100.0,-43.988269794721404,26.666666666666668,36.36363636363637,0.0,inf,0.0,141.12554112554113
fara-7b,ESPN--37,C5,0.0,2.346041055718475,3.3333333333333335,4.545454545454546,0.0,0.0,0.0,2.597402597402588
fara-7b,ESPN--37,C7,-100.0,-61.87683284457478,-20.0,-27.27272727272727,0.0,inf,0.0,115.58441558441557
fara-7b,ESPN--37,C8,-100.0,-40.76246334310851,50.0,68.18181818181817,0.0,inf,0.0,87.01298701298701
fara-7b,ESPN--38,C2,0.0,-65.65977742448331,-60.396039603960396,-64.44444444444444,0.0,inf,0.0,-23.92909896602659
fara-7b,ESPN--38,C5,0.0,-2.2257551669316373,10.891089108910892,15.555555555555555,0.0,0.0,0.0,1.3293943870014644
fara-7b,ESPN--38,C7,0.0,-67.88553259141494,-60.396039603960396,-64.44444444444444,0.0,inf,0.0,-21.270310192023643
fara-7b,ESPN--38,C8,0.0,-56.91573926868044,-54.45544554455446,-58.88888888888889,0.0,inf,0.0,-11.669128508124086
fara-7b,ESPN--39,C2,-100.0,-85.32608695652173,-79.0909090909091,-84.84848484848484,0.0,inf,0.0,-21.263482280431436
fara-7b,ESPN--39,C5,0.0,48.04347826086956,91.81818181818183,102.020202020202,0.0,0.0,0.0,-5.08474576271187
fara-7b,ESPN--39,C7,-100.0,-85.32608695652173,-78.18181818181819,-83.83838383838383,0.0,inf,0.0,-22.496147919876744
fara-7b,ESPN--39,C8,-100.0,-75.65217391304347,-59.09090909090909,-62.62626262626263,0.0,inf,0.0,-28.8135593220339
fara-7b,ESPN--4,C2,0.0,-51.03011093502378,-69.17808219178082,-73.52941176470588,0.0,inf,0.0,-18.278145695364234
fara-7b,ESPN--4,C5,0.0,90.64976228209191,32.87671232876712,33.088235294117645,0.0,0.0,0.0,-12.185430463576163
fara-7b,ESPN--4,C7,100.0,4.91283676703645,-48.63013698630137,-54.41176470588235,0.0,inf,0.0,-32.450331125827816
fara-7b,ESPN--4,C8,0.0,-80.98256735340729,-84.93150684931507,-89.70588235294117,0.0,inf,0.0,-89.13907284768212
