agent,task,condition,rep,target_etld1,records,unique_hosts,third_party_hosts,rq3_blocks_search,rq3_blocks_offdomain,rq3_blocks_cmp,task_success,duration_seconds,return_code
fara-7b,Booking--3,C8,2,booking.com,355,30,26,0,8,2,hit_max_rounds,103.9,0
fara-7b,Booking--3,C8,3,booking.com,558,40,34,0,10,5,hit_max_rounds,108.8,0
fara-7b,Coursera--21,C8,1,coursera.org,435,10,9,0,0,3,success,27.4,0
fara-7b,Coursera--21,C8,2,coursera.org,434,9,8,0,0,3,success,32.5,0
fara-7b,Coursera--21,C8,3,coursera.org,295,9,8,0,0,2,success,25.3,0
fara-7b,GitHub--35,C8,1,github.com,324,7,4,0,0,0,success,32.0,0
fara-7b,Google_Flights--34,C8,1,google.com,142,11,8,0,0,0,hit_max_rounds,105.6,0
fara-7b,Google_Map--35,C8,1,google.com,425,12,7,51,0,0,hit_max_rounds,86.4,0
fara-7b,Google_Map--35,C8,2,google.com,369,12,7,22,0,0,hit_max_rounds,107.3,0
fara-7b,Google_Map--35,C8,3,google.com,335,12,7,25,0,0,hit_max_rounds,81.0,0
fara-7b,Google_Search--28,C8,1,google.com,122,5,2,2,0,0,hit_max_rounds,68.4,0
fara-7b,Google_Search--28,C8,2,google.com,75,5,2,1,0,0,hit_max_rounds,101.2,0
fara-7b,Google_Search--28,C8,3,google.com,168,5,2,3,0,0,hit_max_rounds,90.3,0
fara-7b,Huggingface--14,C8,1,huggingface.co,121,7,5,0,2,0,success,23.2,0
